state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Michigan,I-475,35074,Exit 2,EXIT 2,Hill Road,"Grand Blanc, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%202/35074,42.938831,-83.681205,http://maps.google.com/maps?t=m&q=loc:42.938831+-83.681205,Northbound
Michigan,I-475,35075,Exit 4,EXIT 4,"Bristol Road, Hemphill Road","Burton, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%204/35075,42.969632,-83.681847,http://maps.google.com/maps?t=m&q=loc:42.969632+-83.681847,Northbound
Michigan,I-475,35077,Exit 7,EXIT 7,M-21 (Court Street) – Downtown,"Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%207/35077,43.010769,-83.679516,http://maps.google.com/maps?t=m&q=loc:43.010769+-83.679516,Northbound
Michigan,I-475,35078,Exit 8A,EXIT 8A,Robert T. Longway Boulevard,"Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%208A/35078,43.022524,-83.68302,http://maps.google.com/maps?t=m&q=loc:43.022524+-83.68302,Northbound
Michigan,I-475,35079,Exit 8B,EXIT 8B,"Davison Road, Hamilton Avenue","Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%208B/35079,43.031052,-83.677645,http://maps.google.com/maps?t=m&q=loc:43.031052+-83.677645,Northbound
Michigan,I-475,35080,Exit 9,EXIT 9,M-54 (Dort Highway) / Stewart Avenue,"Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%209/35080,43.050971,-83.673535,http://maps.google.com/maps?t=m&q=loc:43.050971+-83.673535,Northbound
Michigan,I-475,35081,Exit 10,EXIT 10,Pierson Road,"Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%2010/35081,43.063191,-83.679592,http://maps.google.com/maps?t=m&q=loc:43.063191+-83.679592,Northbound
Michigan,I-475,35082,Exit 11,EXIT 11,Carpenter Road,"Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%2011/35082,43.07012,-83.683477,http://maps.google.com/maps?t=m&q=loc:43.07012+-83.683477,Northbound
Michigan,I-475,35083,Exit 13,EXIT 13,Saginaw Street – Mount Morris,"Mt Morris, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%2013/35083,43.096621,-83.689076,http://maps.google.com/maps?t=m&q=loc:43.096621+-83.689076,Northbound
Michigan,I-475,35084,Exit 15,EXIT 15,Clio Road,"Beecher, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%2015/35084,43.09801,-83.726752,http://maps.google.com/maps?t=m&q=loc:43.09801+-83.726752,Northbound
Michigan,I-475,35086,Exit 15,EXIT 15,Clio Road,"Beecher, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%2015/35086,43.095861,-83.740249,http://maps.google.com/maps?t=m&q=loc:43.095861+-83.740249,Southbound
Michigan,I-475,35087,Exit 13,EXIT 13,Saginaw Street – Mount Morris,"Mt Morris, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%2013/35087,43.099345,-83.699749,http://maps.google.com/maps?t=m&q=loc:43.099345+-83.699749,Southbound
Michigan,I-475,35088,Exit 11,EXIT 11,Carpenter Road,"Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%2011/35088,43.080808,-83.684951,http://maps.google.com/maps?t=m&q=loc:43.080808+-83.684951,Southbound
Michigan,I-475,35089,Exit 10,EXIT 10,Pierson Road,"Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%2010/35089,43.075065,-83.683828,http://maps.google.com/maps?t=m&q=loc:43.075065+-83.683828,Southbound
Michigan,I-475,35090,Exit 9,EXIT 9,M-54 (Dort Highway) / Stewart Avenue,"Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%209/35090,43.058501,-83.675035,http://maps.google.com/maps?t=m&q=loc:43.058501+-83.675035,Southbound
Michigan,I-475,35091,Exit 8B,EXIT 8B,"Davison Road, Hamilton Avenue","Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%208B/35091,43.037717,-83.677066,http://maps.google.com/maps?t=m&q=loc:43.037717+-83.677066,Southbound
Michigan,I-475,35092,Exit 8A,EXIT 8A,Robert T. Longway Boulevard,"Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%208A/35092,43.028649,-83.679311,http://maps.google.com/maps?t=m&q=loc:43.028649+-83.679311,Southbound
Michigan,I-475,35093,Exit 7,EXIT 7,M-21 (Court Street) – Downtown,"Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%207/35093,43.020805,-83.684601,http://maps.google.com/maps?t=m&q=loc:43.020805+-83.684601,Southbound
Michigan,I-475,35095,Exit 5,EXIT 5,Atherton Road,"Flint, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%205/35095,42.992586,-83.681286,http://maps.google.com/maps?t=m&q=loc:42.992586+-83.681286,Southbound
Michigan,I-475,35096,Exit 4,EXIT 4,"Bristol Road, Hemphill Road","Burton, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%204/35096,42.98622,-83.682566,http://maps.google.com/maps?t=m&q=loc:42.98622+-83.682566,Southbound
Michigan,I-475,35097,Exit 2,EXIT 2,Hill Road,"Grand Blanc, Michigan",https://www.iexitapp.com/Michigan/I-475/Exit%202/35097,42.949134,-83.682094,http://maps.google.com/maps?t=m&q=loc:42.949134+-83.682094,Southbound
